FID,FID_1,NAME,PERMIT_NO,ADDRESS,CITY,ZIP_CODE,PHONE,CONTACT,PUMPS,CNG_DEV,SRA,X,Y
151,309,COUNTY OF SAN DIEGO/OPERATIONS CENTER,10346,5555 OVERLAND AVE,SAN DIEGO,92123.000000000000000,,,6,0,10.000000000000000,-117.130879073000000,32.835086021000002
152,312,"CROWNAIR/AIR 88, INC.",5694,3753 JOHN J MONTGOMERY DR,SAN DIEGO,92123.000000000000000,619-277-1453,,2,0,10.000000000000000,-117.139658268999990,32.815152719300002
153,328,EXXON #1031/NEW WEST PETROLEUMSD1,3057,7737 BALBOA AVE,SAN DIEGO,92111.000000000000000,916-443-0890,,28,0,10.000000000000000,-117.156471973000000,32.821368148799998
154,329,EXXON #1032/NEW WEST PETROLEUM SD2,3117,3860 KEARNY MESA RD,SAN DIEGO,92111.000000000000000,916-443-0890,,32,0,10.000000000000000,-117.152120810000000,32.813995513400002
155,330,EXXON #1033/NEW WEST PETROLEUM SD1,1984,6949 LINDA VISTA RD,SAN DIEGO,92111.000000000000000,916-443-0890,,32,0,10.000000000000000,-117.170031914000010,32.786080623499998
156,350,EXXONMOBIL OIL CORP #10910,11487,8380 CLAIREMONT MESA BLVD,SAN DIEGO,92111.000000000000000,858-279-9343,,38,0,10.000000000000000,-117.143894317999990,32.833246153399998
157,358,EXXONMOBIL OIL CORP. #10988,14806,6066 BALBOA AVE,SAN DIEGO,92111.000000000000000,858 279-2062,,30,0,10.000000000000000,-117.176570729999990,32.820588183799998
158,366,EXXONMOBIL OIL CORP. #12721,2014,5494 MISSION CENTER RD,SAN DIEGO,92108.000000000000000,619-297-1534,,24,0,10.000000000000000,-117.154491491000000,32.774027799199999
159,373,EZ-HAUL TRUCK RENTAL,5585,5624 KEARNY VILLA RD,SAN DIEGO,92123.000000000000000,858-277-1440,,2,0,10.000000000000000,-117.136233550000000,32.837246523300003
160,375,FAST FUEL CAR CARE CENTER,2341,4505 CLAIREMONT MESA BLVD,SAN DIEGO,92117.000000000000000,619-571-9090,,18,0,10.000000000000000,-117.194369145000000,32.834194268499999
161,382,GIBBS FLYING SERVICE-STATIONARY METERS,13487,8906 AERO DR,SAN DIEGO,92123.000000000000000,,,1,0,10.000000000000000,-117.135913994000010,32.809054912500002
162,391,HAWTHORNE POWER SYSTEMS,0,8050 OTHELLO,SAN DIEGO,92111.000000000000000,,,1,0,10.000000000000000,-117.150844174000000,32.818059250099999
163,396,HAZARD CENTER AUTOMART,14407,7698 FRIARS RD,SAN DIEGO CA,92108.000000000000000,619 296-2566,,24,0,10.000000000000000,-117.158015338000000,32.772807690999997
164,410,MARVIN K. BROWN AUTO CENTER,4166,1441 CAM DEL RIO S,SAN DIEGO,92108.000000000000000,619-291-2040,,1,0,10.000000000000000,-117.148944395000000,32.765571982099999
165,411,MEGA-FUEL & SUBWY,14366,7153 CLAIREMONT MESA BLVD,SAN DIEGO,92111.000000000000000,858 565-7133,,40,0,10.000000000000000,-117.163086860000010,32.832239961799999
166,443,ROUTE 66,15050,6936 LINDA VISTA RD,SAN DIEGO,92111.000000000000000,858-505-0081,GREG LAMB,27,0,10.000000000000000,-117.170698413000000,32.786340555800003
167,444,RYDER TRUCK RENTAL,5579,5345 OVERLAND AVE,SAN DIEGO,92123.000000000000000,565-8517,,3,0,10.000000000000000,-117.129974184999990,32.832498567499997
168,466,SHELL OIL PRODUCTS US #121448,1925,6125 BALBOA AVE,SAN DIEGO,92111.000000000000000,602-468-6944,,28,0,10.000000000000000,-117.175773815000000,32.819870283800000
169,469,SHELL OIL PRODUCTS US #121557,4934,7785 CLAIREMONT MESA BLVD,SAN DIEGO,92111.000000000000000,602-468-6944,,28,0,10.000000000000000,-117.153738426000000,32.832382249200002
170,472,SHELL OIL PRODUCTS US #121801,3218,5465 MISSION CENTER RD,SAN DIEGO,92108.000000000000000,602-468-6944,,32,0,10.000000000000000,-117.153539400000000,32.773981177099998
171,487,SHELL OIL PRODUCTS US #135923,2542,1330 MORENA BLVD,SAN DIEGO,92110.000000000000000,602-468-6944,,30,0,10.000000000000000,-117.202713734000000,32.772120978799997
172,488,SHELL OIL PRODUCTS US #135927,3118,7647 BALBOA AVE,SAN DIEGO,92111.000000000000000,602-468-6944,,30,0,10.000000000000000,-117.159437459000000,32.821373829899997
173,499,SHELL-52 & CONVOY,9953,7740 COPLEY PARK PL,SAN DIEGO,92111.000000000000000,619-234-7989,,52,0,10.000000000000000,-117.152812256000000,32.836670193499998
174,515,"STONECREST GAS AND WASH, INC.",14670,3690 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,858 874-3119,,52,0,10.000000000000000,-117.116469037000000,32.808564871999998
175,521,SYSCO PETROLEUM,14618,2777 HEALTH CENTER DR,SAN DIEGO,92123.000000000000000,619-920-1188,,28,0,10.000000000000000,-117.156540060000000,32.793049681699998
176,540,THRIFTY/ ARCO #9576,2681,4202 CLAIREMONT MESA BLVD,SAN DIEGO,92117.000000000000000,,,24,0,10.000000000000000,-117.202083937000000,32.831390958400000
177,546,UNITED RENTALS,854,5580 KEARNY VILLA RD,SAN DIEGO,92123.000000000000000,565-7122,,2,0,10.000000000000000,-117.137084689000010,32.836415861299997
178,557,VALERO #3740,2495,1083 MORENA BLVD,SAN DIEGO,92110.000000000000000,559-583-3298,,24,0,10.000000000000000,-117.199366716000000,32.768257274500002
179,565,VALERO-EBK PETROLEUM INC,13170,5345 KEARNEY VILLA RD,SAN DIEGO,92123.000000000000000,,,32,0,10.000000000000000,-117.140553623000000,32.830302253500001
180,654,SHELL OIL PRODUCTS US #135920,2186,2606 CLAIREMONT DR,SAN DIEGO,92117.000000000000000,602-468-6944,,24,0,10.000000000000000,-117.202919065000000,32.790800447199999
181,671,ARCO - FASHION VALLEY AM/PM,2364,6899 FRIARS RD,SAN DIEGO,92108.000000000000000,619-295-1169,,24,0,10.000000000000000,-117.171744066000000,32.768525561899999
182,732,CHEVRON - #90158,3034,755 HOTEL CIRCLE,SAN DIEGO,92108.000000000000000,510-842-9002,,24,0,10.000000000000000,-117.169873568000000,32.759971352299999
183,67,76 CONOCOPHILLIPS#250834,3361,2804 GARNET AVE,SAN DIEGO,92109.000000000000000,274-7600,,36,0,11.000000000000000,-117.218677939000000,32.806449902300002
184,74,76 CONOCOPHILLIPS#256251,2340,3805 INGRAHAM ST,SAN DIEGO,92109.000000000000000,858-272-6171,,24,0,11.000000000000000,-117.237234102000000,32.789183659199999
185,105,"7-ELEVEN #20337 /7-ELEVEN, INC",2158,2803 GARNET AVE,SAN DIEGO,92109.000000000000000,273-9857,,20,0,11.000000000000000,-117.218397035000000,32.805914413399996
186,146,ARCO,13511,1875 GRAND AVE,SAN DIEGO,92109.000000000000000,909-754-8038,,24,0,11.000000000000000,-117.235004319000000,32.798711404899997
187,154,ARCO #1785 - ALAN'S SUNSHINE,14182,985 TURQUOISE ST,SAN DIEGO,92109.000000000000000,858-539-3992,ALAN B. FATOOHI,24,0,11.000000000000000,-117.255846909000000,32.809136905300001
188,259,CHEVRON -LA JOLLA CHEVRON,14434,7475 LA JOLLA BLVD,LA JOLLA,92037.000000000000000,858 454-5909,"MEDEIROS, CHRIS R.",24,0,11.000000000000000,-117.278086687000000,32.838991204899997
189,272,CHEVRON-JOSEPH RANDAZZO,11948,1575 GARNET AVE,SAN DIEGO,92109.000000000000000,858-273-6621,,30,0,11.000000000000000,-117.241106703000000,32.799482314899997
190,311,CROWN POINT GAS,15352,3804 INGRAHAM ST,SAN DIEGO,92109.000000000000000,,,30,0,11.000000000000000,-117.238003298000000,32.789006051000001
191,314,DANA LANDING FUEL DOCK,1458,2590 INGRAHAM ST,SAN DIEGO,92109.000000000000000,619-226-2929,,4,0,11.000000000000000,-117.235182464999990,32.768384705700001
192,319,ENCON-LA JOLLA SHORES/KA MANAGEMENT INC,10685,2204 TORREY PINES RD,LA JOLLA,92037.000000000000000,619-541-2950,,40,0,11.000000000000000,-117.253814565000000,32.850836759400003
193,356,EXXONMOBIL OIL CORP. #10510,13986,2780 GARNET AVE,SAN DIEGO,92109.000000000000000,858 273-7624,"ODISH, PAUL",18,0,11.000000000000000,-117.219456569000000,32.806225284400000
194,407,LA JOLLA 76,3426,801 PEARL ST,LA JOLLA,92037.000000000000000,454-7600,,28,0,11.000000000000000,-117.274493035000010,32.839756633500002
195,423,P.B. SPIRIT GAS,14408,1885 GARNET AVE,SAN DIEGO,92109.000000000000000,619 917-2821,,24,0,11.000000000000000,-117.235623295000000,32.800659986900001
196,424,PACIFIC BEACH FUELS,2979,4404 INGRAHAM ST,SAN DIEGO,92109.000000000000000,858-274-6834,,24,0,11.000000000000000,-117.240736996000000,32.798150510600003
197,447,SHELL,13387,2075 BALBOA AVE,SAN DIEGO,92109.000000000000000,858 272-2844,,36,0,11.000000000000000,-117.231737425000010,32.800064614000000
198,528,THRIFTY #9561,12484,833 TURQUOISE ST,SAN DIEGO,92109.000000000000000,,,30,0,11.000000000000000,-117.258841984000000,32.808491627599999
199,556,VALERO #3739/,2494,4342 INGRAHAM ST,SAN DIEGO,92109.000000000000000,559-583-3298,,36,0,11.000000000000000,-117.240605751999990,32.797476798300004
200,574,VONS GAS MARKET EXPRESS #216,16100,1680 GARNET AVE,SAN DIEGO,92109.000000000000000,858 272-5359,,40,0,11.000000000000000,-117.239438097000000,32.800428828100003
201,752,FUEL DOCK,4306,1551 W MISSION BAY DR,SAN DIEGO,92109.000000000000000,222-1164,JOHN TAYLOR,7,0,11.000000000000000,-117.240080839000000,32.765559820299998
202,143,APRO LLC #35,15867,3860 GOVERNOR DR,SAN DIEGO,92122.000000000000000,619-421-1378,,24,0,12.000000000000000,-117.205317957999990,32.855057963400000
203,258,"CHEVRON -COSTA VERDE CAR WASH, INC.",12397,8505 COSTA VERDE BLVD,SAN DIEGO,92122.000000000000000,,,48,0,12.000000000000000,-117.214924769000010,32.867721354099999
204,333,EXXON #1038/NEW WEST PETROLEUM SD1,1987,3918 GOVERNOR DR,SAN DIEGO,92122.000000000000000,916-443-0890,,28,0,12.000000000000000,-117.204259384000000,32.855035225400002
205,360,EXXONMOBIL OIL CORP. #11268,3199,3861 GOVERNOR DR,SAN DIEGO,92122.000000000000000,858-450-9474,,36,0,12.000000000000000,-117.204993132000000,32.854232811800003
206,362,EXXONMOBIL OIL CORP. #11686,2811,3233 LA JOLLA VILLAGE DR,LA JOLLA,92037.000000000000000,453-8153,,50,0,12.000000000000000,-117.233339335000000,32.871240641999997
207,547,"UNIVERSITY CITY SERVICE CENTER, INC.",13895,3901 GOVERNOR DR,SAN DIEGO,92122.000000000000000,,,24,0,12.000000000000000,-117.204067557000000,32.854312113399999
208,8,SDG&E/GAS OPS/C. CRISS,10225,6875 CONSOLIDATED WAY,SAN DIEGO,92121.000000000000000,654-1105,,0,2,13.000000000000000,-117.167098888000000,32.877698708300002
209,57,4S GASOLINE DEPOT.,15513,6795 MIRA MESA BLVD,SAN DIEGO,92121.000000000000000,858-554-0460,,36,0,13.000000000000000,-117.171684279999990,32.907128548899998
210,118,7-ELEVEN #25629 /7-ELEVEN,3735,11205 CAM RUIZ,SAN DIEGO,92126.000000000000000,465-2101,,24,0,13.000000000000000,-117.143569924000000,32.925402318499998
211,128,"7-ELEVEN #32131/7-ELEVEN, INC",10061,8261 GOLD COAST DR,SAN DIEGO,92126.000000000000000,214-841-6704,,24,0,13.000000000000000,-117.145586342000000,32.904996180900000
212,138,AMERICANA CAR WASH,7309,9510 SCRANTON RD,SAN DIEGO,92121.000000000000000,587-2778,,16,0,13.000000000000000,-117.202203461000000,32.893903558100000
213,177,ARCO AMPM #5181,6188,6616 MIRAMAR RD,SAN DIEGO,92121.000000000000000,,,24,0,13.000000000000000,-117.171968136000000,32.878103109800001
214,188,ARCO AMPM #5441,437,9720 CARROLL CENTRE RD,SAN DIEGO,92126.000000000000000,,,36,0,13.000000000000000,-117.122479629000000,32.899471712299999
215,191,ARCO AMPM #6195,2272,9320 MIRA MESA BLVD,SAN DIEGO,92126.000000000000000,858-566-1944,,36,0,13.000000000000000,-117.124435815000000,32.917634767999999
216,234,CHEVRON,13486,13985 TORREY DEL MAR DR,SAN DIEGO,92130.000000000000000,,,36,0,13.000000000000000,-117.161578420000000,32.970138196500002
217,245,CHEVRON #205126,12761,9936 MERCY RD,SAN DIEGO,92129.000000000000000,858-271-8759,,36,0,13.000000000000000,-117.112882197999990,32.937732270799998
218,256,CHEVRON /DEL MAR HIGHLANDS CAR WASH,13408,12889 EL CAM REAL,SAN DIEGO,92130.000000000000000,,KAREN FORBES,36,0,13.000000000000000,-117.233651843999990,32.951925382699997
219,275,CHEVRON-SCRIPPS MIRAMAR CAR WASH,1908,9650 MIRAMAR RD,SAN DIEGO,92126.000000000000000,619-234-7989,,34,0,13.000000000000000,-117.121051820999990,32.894291561300001
220,281,CIRCLE K - #8688,6757,10520 CAM RUIZ,MIRA MESA,92126.000000000000000,602-278-3593,,12,0,13.000000000000000,-117.145824680999990,32.908722807399997
221,290,"CITGO-SUPER 7 #19548/7-ELEVEN, INC",2160,13801 MANGO DR,DEL MAR,92014.000000000000000,278-2101,,24,0,13.000000000000000,-117.247095556999990,32.949152330099999
222,357,EXXONMOBIL OIL CORP. #10637,11414,9790 MIRAMAR RD,SAN DIEGO,92126.000000000000000,858-536-8862,,36,0,13.000000000000000,-117.118729832000000,32.894211377500000
223,393,HAWTHORNE RENT-IT SERVICE,2738,7625 CARROLL RD,SAN DIEGO,92121.000000000000000,566-9966,,2,0,13.000000000000000,-117.158237723000000,32.884141947300002
224,397,HERTZ EQUIPMENT RENTAL,6890,8014 MIRAMAR RD,SAN DIEGO,92126.000000000000000,566-5500,,1,0,13.000000000000000,-117.146994989000010,32.888490776099999
225,401,HOMELAND PETROLEUM-MIRA MESA,4216,8340 MIRA MESA BLVD,SAN DIEGO,92126.000000000000000,566-8275,,38,0,13.000000000000000,-117.144276158000000,32.913290717999999
226,428,PENSKE TRUCK LEASING,14001,8750 PRODUCTION AVE,SAN DIEGO,92121.000000000000000,610 775-6471,,2,0,13.000000000000000,-117.166211455000000,32.884404657300003
227,432,PLAVAN COMMERCIAL FUELING,13205,9690 BLACK MTN RD,SAN DIEGO,92126.000000000000000,,,3,0,13.000000000000000,-117.123230690000000,32.898824275499997
228,460,SHELL OIL PRODUCTS US #121073,2066,3015 DEL MAR HEIGHTS RD,SAN DIEGO,92130.000000000000000,602-468-6944,,40,0,13.000000000000000,-117.241045775000000,32.950648751599999
229,491,SHELL OIL PRODUCTS US #135933,2840,9840 MIRAMAR RD,SAN DIEGO,92126.000000000000000,602-468-6944,,48,0,13.000000000000000,-117.117799972000000,32.894071195000002
230,492,SHELL OIL PRODUCTS US #135934,4044,8345 MIRA MESA BLVD,SAN DIEGO,92126.000000000000000,602-468-6944,,44,0,13.000000000000000,-117.144559306000000,32.912295770800000
231,493,SHELL OIL PRODUCTS US #135935,2142,3060 CARMEL VALLEY RD,SAN DIEGO,92130.000000000000000,602-468-6944,,30,0,13.000000000000000,-117.240028811000000,32.933583033500000
232,494,SHELL OIL PRODUCTS US #135938,337,9490 MIRA MESA BLVD,SAN DIEGO,92126.000000000000000,602-468-6944,,48,0,13.000000000000000,-117.121201636000000,32.917641470900001
233,497,SHELL OIL PRODUCTS US#121634,10674,8920 MIRAMAR,SAN DIEGO,92126.000000000000000,619 521-3200,,42,0,13.000000000000000,-117.133031849000010,32.894068101499997
234,498,SHELL -VIPER WY SHELL,14491,6695 MIRA MESA BLVD,SAN DIEGO,92121.000000000000000,510-293-9150,SAROJ GOYAL,40,0,13.000000000000000,-117.174648530000000,32.905966462899997
235,500,SHELL-ACACIA GASOLINE & CAR WASH OF C.V,11148,3861 VALLLEY CENTRE DR,SAN DIEGO,92130.000000000000000,858-792-9009,,52,0,13.000000000000000,-117.231002919999990,32.937302962300002
236,507,SKS INC.,2708,6350 MIRAMAR RD,SAN DIEGO,92121.000000000000000,858-530-1193,,8,0,13.000000000000000,-117.177447234000000,32.878298147700001
237,509,"SKS,INC",5263,9270 DOWDY DR,SAN DIEGO,92126.000000000000000,858-530-1193,,16,0,13.000000000000000,-117.147296592000000,32.890274101400003
238,580,"76 MIRAMAR AUTOPORT 76, INC.",2841,5706 MIRAMAR RD,SAN DIEGO,92121.000000000000000,858-450-1620,THOMAS D. DRAKE/760-815-5808,41,0,13.000000000000000,-117.185112690000000,32.877487965599997
239,600,ARCO AMPM #5404,1540,3170 CARMEL VALLEY RD,SAN DIEGO,92130.000000000000000,,,36,0,13.000000000000000,-117.238422997000000,32.934399141000000
240,692,CHEVRON - #91214,7027,8210 CAM SANTA FE,SAN DIEGO,92121.000000000000000,510-842-9002,,36,0,13.000000000000000,-117.172702005000000,32.878932528400000
241,702,PLAVAN COMMERCIAL FUELING  INC.,11756,9147 REHCO RD,SAN DIEGO,92121.000000000000000,800-499-4645,,8,0,13.000000000000000,-117.172269633000000,32.889285564500000
242,751,EXXONMOBIL OIL CORP. #19104,16151,13007 CAM DEL SUR,SAN DIEGO,92129.000000000000000,,,36,0,13.000000000000000,-117.152767494000000,32.957010602099999
243,766,RANCHO CAR WASH/VIGNATO DEV.CORP*,2528,2661 VIA DE LA VALLE,DEL MAR,92014.000000000000000,619-259-4353,,36,0,13.000000000000000,-117.248882116000000,32.980659254000003
244,769,SHELL OIL PRODUCTS US #120907,2544,2205 VIA DE LA VALLE,DEL MAR,92014.000000000000000,602-468-6944,,28,0,13.000000000000000,-117.255432608000010,32.979405614900003
245,18,"CARMEL MTN RANCH CAR WASH, INC",12396,11030 RANCHO CARMEL DR,SAN DIEGO,92128.000000000000000,858-451-1212,,48,0,14.000000000000000,-117.082664023000010,32.977265982600002
246,34,CHEVRON CAR WASH / 4S RANCH-OWNER,14414,16629 DOVE CANYON RD,SAN DIEGO,92127.000000000000000,858 613-1315,,36,0,14.000000000000000,-117.111449902999990,33.014931985499999
247,40,HAWTHORNE MACHINERY COMPANY,0,16945 CAM SAN BERNARDO,SAN DIEGO,92127.000000000000000,674-7127,,2,0,14.000000000000000,-117.101983850000000,33.013869619499999
248,48,SHELL OIL PRODUCTS US #120655,10506,9205 TWIN TRAILS DR,SAN DIEGO,92129.000000000000000,602-468-6944,,34,0,14.000000000000000,-117.128512877000010,32.956496849799997
249,60,76 - APC OIL INC.,15126,13012 POMERADO RD,POWY,92064.000000000000000,858-748-7603,TONY THOMAS,24,0,14.000000000000000,-117.062849717000010,32.952148376200000
250,84,76 UNOCAL CONOCOPHILLIPS#256834,3567,12860 RANCHO PENASQUITOS BLVD,SAN DIEGO,92129.000000000000000,566-5980,,32,0,14.000000000000000,-117.107918131999990,32.950763773100000
251,91,"7-ELEVEN #13624 /7-ELEVEN, INC",2504,13626 POMERADO RD,POWY,92064.000000000000000,503-977-7713,,12,0,14.000000000000000,-117.062920324000000,32.961722264499997
252,183,ARCO AMPM #5296,7294,12610 SABRE SPRINGS PKWY,SAN DIEGO,92128.000000000000000,,,24,0,14.000000000000000,-117.096338879000000,32.948218389499999
253,202,ARCO/RANCHO BERNARDO AM/PM,11605,11891 RANCHO BERNARDO RD,SAN DIEGO,92128.000000000000000,858-487-1565,,24,0,14.000000000000000,-117.074836682000000,33.022514733000001
254,260,CHEVRON -RANCHO BERNARDO CAR WASH LLC*,2345,16757 BERNARDO CENTER DR,SAN DIEGO,92128.000000000000000,619-234-7989,RANCHO BERNARDO CAR WASH LLC,36,0,14.000000000000000,-117.074364891000000,33.018653514000000
255,262,CHEVRON STATION #96929,3043,11095 CARMEL MTN RD,SAN DIEGO,92129.000000000000000,,,36,0,14.000000000000000,-117.090088601000010,32.977085817599999
256,334,EXXON #1039/NEW WEST PETROLEUM SD1,5234,12929 RANCHO PENASQUITOS BLVD,SAN DIEGO,92129.000000000000000,916-443-0890,,42,0,14.000000000000000,-117.107115798000000,32.952227742300003
257,352,EXXONMOBIL OIL CORP #11464,2883,11898 RANCHO BERNARDO RD,SAN DIEGO,92128.000000000000000,858-487-4496,,48,0,14.000000000000000,-117.074851915000000,33.023268401099998
258,369,EXXONMOBIL OIL CORP. #15979,5013,12849 RANCHO PENASQUITOS BLVD,SAN DIEGO,92129.000000000000000,619-541-2950,,52,0,14.000000000000000,-117.106827376000000,32.950229523499999
259,390,HAWTHORNE  LIFT SYSTEMS,12062,10930 WILLOW CT,SAN DIEGO,92127.000000000000000,858-674-7000,,2,0,14.000000000000000,-117.099117594000010,33.014000275900003
260,412,MOBIL FAIRBANKS RANCH MOBIL,11082,16095 SAN DIEGUITO RD,RANCHO SANTA,92067.000000000000000,619-759-9184,,40,0,14.000000000000000,-117.197009820999990,32.991432026900000
261,454,SHELL OIL PRODUCTS US #120561,9710,12174 CARMEL MTN RD,SAN DIEGO,92128.000000000000000,602-468-6944,,40,0,14.000000000000000,-117.076000750000010,32.985321705099999
262,495,SHELL OIL PRODUCTS US #135939,458,11815 CARMEL MTN RD,SAN DIEGO,92128.000000000000000,602-468-6944,,36,0,14.000000000000000,-117.077438544000000,32.980431829600001
263,694,CIRCLE K/76 #2705703,13840,17011 W BERNARDO DR,SAN DIEGO,92127.000000000000000,281-293-1000,,36,0,14.000000000000000,-117.081816731999990,33.024191037199998
264,748,EXXONMOBIL OIL CORP #10365,5926,9370 PASEO MONTALBAN,SAN DIEGO,92129.000000000000000,538-6751,,42,0,14.000000000000000,-117.123705050000000,32.959558984700003
265,771,SHELL OIL PRODUCTS US #135919,2037,16998 W BERNARDO DR,SAN DIEGO,92127.000000000000000,602-468-6944,,30,0,14.000000000000000,-117.082673751000000,33.023454135400002
266,5,POWAY SCHOOL DIST,10227,13626 TWIN PEAKS RD,POWAY,92064.000000000000000,654-1105,,0,2,15.000000000000000,-117.035704692000000,32.978495395200000
267,35,CIRCLE K/76 #2702971,13835,14147 TWIN PEAKS RD,POWY,92064.000000000000000,281-293-1000,,12,0,15.000000000000000,-117.023745072000000,32.977706849599997
268,122,"7-ELEVEN #26182 /7-ELEVEN, INC",5101,14225 POWY RD,SAN DIEGO,92064.000000000000000,278-7861,,12,0,15.000000000000000,-117.023420888000000,32.956618435599999
269,164,ARCO AM/PM,14368,12033A SCRIPPS SUMMIT DR,SAN DIEGO,92131.000000000000000,858-621-6337,,54,0,15.000000000000000,-117.100236069999990,32.937946994999997
270,167,ARCO AM/PM,13591,12805 POWY RD,POWY,92064.000000000000000,714-709-3367,,24,0,15.000000000000000,-117.053528927000000,32.956184284899997
271,223,BJ'S RENTALS,15278,13044 POWY RD,POWY,92064.000000000000000,858 735-2723,STEVE VAN CURA,2,0,15.000000000000000,-117.048154199000000,32.957210934000003
272,270,"CHEVRON-G & M OIL CO., LLC #112",12701,12410 POWY RD,POWY,92064.000000000000000,858 513-9143,,34,0,15.000000000000000,-117.062121422000000,32.952181330899997
273,298,COSTCO WHOLESALE #775,14468,12155 TECH CENTER DR,POWY,92064.000000000000000,425-313-8100,,32,0,15.000000000000000,-117.033054926999990,32.936720641999997
274,339,EXXON /APRO LLC #23,12099,12462 POWY RD,POWY,92064.000000000000000,,,38,0,15.000000000000000,-117.060552726000000,32.952639956100001
275,353,EXXONMOBIL OIL CORP #13203,4163,13556 POWY RD,POWY,92064.000000000000000,858-748-7489,,24,0,15.000000000000000,-117.037034680000000,32.956753471699997
276,371,EXXONMOBIL OIL CORP. #17970,11131,10555 SCRIPPS POWYY PKWY,SAN DIEGO,92131.000000000000000,858-566-9629,,38,0,15.000000000000000,-117.100270133000000,32.936919507799999
277,439,RANCHO BERNARDO SHELL,15837,12507 RANCHO BERNARDO RD,SAN DIEGO,92128.000000000000000,858-487-2505,,28,0,15.000000000000000,-117.060398881000000,33.018344118300000
278,452,SHELL OF POWY,13781,13341 POWY RD,POWY,92064.000000000000000,858-748-6504,GABRIEL,28,0,15.000000000000000,-117.041502024000000,32.956138847600002
279,455,SHELL OIL PRODUCTS US #120574,7944,12507 RANCHO BERNARDO RD,SAN DIEGO,92128.000000000000000,858-487-2505,,28,0,15.000000000000000,-117.060398881000000,33.018344118300000
280,553,USA GASOLINE /PALISADES GAS & WASH #851,14525,12010 SCRIPPS HIGHLAND DR,SAN DIEGO,92131.000000000000000,818 856-9200,,42,0,15.000000000000000,-117.108260636000000,32.936761919500000
281,607,CHEVRON  # 207541,11231,12295 SCRIPPS POWY PKWY,POWY,92064.000000000000000,858-621-6324,,36,0,15.000000000000000,-117.060628476999990,32.934517661299999
282,657,"SKS, INC.",10722,13910 DANIELSON ST,POWY,92064.000000000000000,858-530-1193,,28,0,15.000000000000000,-117.030413554000010,32.940615451500001
283,684,EXXONMOBIL OIL CORP. #11788,7425,14863 POMERADO RD,POWY,92064.000000000000000,486-9466,ANDREA GARCIA,38,0,15.000000000000000,-117.062167114000000,32.981999936999998
284,685,"GOLDEN STATE GASOLINE, INC.",4954,13394 POWY RD,POWY,92064.000000000000000,619-593-6652,,24,0,15.000000000000000,-117.041219583000000,32.956582604600001
285,690,ULTRA FUEL,2973,12365 POWY RD,POWY,92064.000000000000000,858 748-1554,,40,0,15.000000000000000,-117.063787562000000,32.951675344199998
286,162,ARCO #9761,2724,9393 KEARNY MESA RD,SAN DIEGO,92126.000000000000000,,,34,0,16.000000000000000,-117.117971384000000,32.893283918500003
287,36,"COSBY OIL CO., INC.",4843,6225 FAIRMOUNT AVE,SAN DIEGO,92120.000000000000000,619-280-6885,,27,0,17.000000000000000,-117.100993453000000,32.789059868300001
288,86,76-ATTISHA OIL,13601,5194 WARING RD,SAN DIEGO,92120.000000000000000,,,24,0,17.000000000000000,-117.081450591000010,32.792525966500001
289,126,"7-ELEVEN #27623 /7-ELEVEN, INC",5726,6401 MISSION GORGE RD,SAN DIEGO,92120.000000000000000,282-3647,,12,0,17.000000000000000,-117.097333572000000,32.790155587699999
290,149,ARCO -  #9757,2702,8787 LAKE MURRAY BLVD,SAN DIEGO,92119.000000000000000,,,24,0,17.000000000000000,-117.009955619000000,32.802647389000001
291,170,ARCO AM/PM #01790 MISSION GORGE,2344,6110 MISSION GORGE RD,SAN DIEGO,92120.000000000000000,619-283-2400,,24,0,17.000000000000000,-117.098120085000010,32.785326920199999
292,222,BJ'S RENTALS,15276,7585 MISSION GORGE RD,SAN DIEGO,92120.000000000000000,,STEVE VAN CURA,2,0,17.000000000000000,-117.074948050000000,32.807534484100003
293,241,CHEVRON #108/G & M OIL CO,12637,8780 LAKE MURRAY BLVD,SAN DIEGO,92119.000000000000000,,,28,0,17.000000000000000,-117.011057389000000,32.802665008900000
294,242,"CHEVRON #138, G & M OIL CO",15259,5103 WARING RD,SAN DIEGO,92120.000000000000000,714 375-4700,,28,0,17.000000000000000,-117.082204781000000,32.790724740999998
295,250,"CHEVRON #63/G&M OIL CO., INC.",5668,7448 JACKSON DR,SAN DIEGO,92119.000000000000000,714-375-4700,,28,0,17.000000000000000,-117.046120096000000,32.803353633400000
296,267,CHEVRON-DEL CERRO,13403,6301 DEL CERRO BLVD,SAN DIEGO,92120.000000000000000,619-583-1122,DARRYL GINOS,48,0,17.000000000000000,-117.061664745000000,32.783209338399999
297,324,EXXON #1026/NEW WEST PETROLEUM S2,7613,8815 LAKE MURRAY BLVD,SAN DIEGO,92119.000000000000000,916-443-0890,,28,0,17.000000000000000,-117.009521875000000,32.803296641400003
298,332,EXXON #1037/NEW WEST PETROLEUM SD2,2725,6953 NAVAJO RD,SAN DIEGO,92119.000000000000000,916-443-0890,,20,0,17.000000000000000,-117.045502565000010,32.803803559099997
299,355,EXXONMOBIL OIL CORP. #10215,14753,10496 CLAIREMONT MESA BLVD,SAN DIEGO,92124.000000000000000,303 986-8011,,42,0,17.000000000000000,-117.103671003000000,32.829802066600003
